Distro, Score
Grammar::DiceRolls, 6
Desktop::Notify, 6
Backtrace::AsHTML, 6
Grammar::TodoTxt, 6
HTML::Canvas, 6
Compress::Bzip2::Raw, 6
P5getnetbyname, 6
sqlite, 6
TestML, 6
TXN::Parser, 6
Getopt::Tiny, 6
Net::Netmask, 6
Sys::Domainname, 6
Netstring, 6
P5getprotobyname, 6
DateTime::Monotonic, 6
epoll, 6
Archive::Libarchive, 6
Text::Diff::Sift4, 6
AccessorFacade, 6
Digest::xxHash, 6
Font::AFM, 6
Number::Denominate, 6
CSS::Grammar, 6
P5getservbyname, 6
CSS::Box, 6
URI::Template, 6
Config::DataLang::Refine, 5
Config::Parser::json, 5
Math::Libgsl::RandomDistribution, 5
ScaleVec, 5
NativeHelpers::Callback, 5
Oyatul, 5
Email::Valid, 5
Math::Libgsl::Complex, 5
PKCS5, 5
Lumberjack, 5
XDG::BaseDirectory, 5
Cookie::Baker, 5
Web::Template, 5
App::Mi6, 5
Slippy::Semilist, 5
Staticish, 5
Math::Libgsl::Random, 5
Map::Agnostic, 5
Test::Notice, 5
XML::Actions, 4
Abbreviations, 4
P5-X, 4
RPi::Device::SMBus, 4
Math::Libgsl::LinearAlgebra, 4
Lingua::EN::Numbers, 4
P5times, 4
P5print, 4
Foo::Dependencies::A-on-B, 4
Foo::Dependencies::B-on-A, 4
Matrix::Client, 4
Audio::Sndfile, 4
Timer::Breakable, 4
GTK::Simple, 4
P5caller, 4
P5math, 4
P5each, 4
Version::Semantic, 4
P5chomp, 4
P5push, 4
Semaphore::ReadersWriters, 4
P5lcfirst, 4
Kind, 4
P5shift, 4
MPD::Client, 4
Concurrent::PChannel, 4
primesieve, 4
Net::HTTP::GET, 4
Math::Libgsl::BLAS, 4
CSS::Specification, 4
HTTP::Server::Router, 4
P5hex, 4
Archive::Libarchive::Raw, 4
RakudoPrereq, 4
P5lc, 4
P5seek, 4
P5reset, 4
OpenAPI::Schema::Validate, 4
P5readlink, 4
P5fileno, 4
P5substr, 4
Email::MIME, 4
Rakudo::Perl6::Parsing, 4
Net::HTTP, 4
OpenAPI::Model, 4
P5ref, 4
System::Query, 4
P5chdir, 4
Pod::Literate, 4
BitEnum, 4
Geo::Hash::CustomBuilder, 4
P5length, 4
Pluggable, 4
Subsets::Common, 4
Subset::Helper, 4
Audio::Taglib::Simple, 4
List::UtilsBy, 4
P5sleep, 4
Browser::Open, 4
List::Util, 4
Math::Libgsl::Permutation, 4
Intl::UserLanguage, 4
P5study, 4
String::Fold, 4
P5chr, 4
P5fc, 4
P5defined, 4
P5__FILE__, 4
Cache::LRU, 4
LibCurl::Easy, 4
Math::RungeKutta, 4
Panda, 4
Perl6::TypeGraph, 4
DB::Xoos, 4
CSS::Selector::To::XPath, 4
Grammar::Tracer, 4
P5reverse, 4
P5index, 4
Pod::To::Anything, 4
Foo::Dependencies::Self, 4
P5pack, 4
CSS::Writer, 4
BSON, 4
License::SPDX, 4
App::GPTrixie, 3
Date::Names, 3
Inline::Python, 3
Cache::Async, 3
File::Stat, 3
JSON::RPC, 3
Pakku::Meta, 3
Distribution::Common::Remote, 3
Util::Bitfield, 3
Math::Polygons, 3
Text::CSV, 3
Apache::LogFormat, 3
FastCGI, 3
Audio::PortMIDI, 3
Term::Choose::Util, 3
Lingua::Conjunction, 3
Sparrowdo::RemoteFile, 3
X11::Xlib::Raw, 3
ake, 3
YAML, 3
PDF::Tags, 3
HTTP::Request::Supply, 3
Test::Deeply::Relaxed, 3
MoarVM::Remote, 3
Log::Syslog::Native, 3
panda, 3
HTTP::Client, 3
Text::More, 3
Hash2Class, 3
XML::Canonical, 3
Pastebin::Shadowcat, 3
Number::More, 3
Image::PNG::Portable, 3
Sparrowdo::Archive, 3
BioInfo, 3
Matrix::Bot, 3
Concurrent::Progress, 3
Munge, 3
CSV::Parser, 2
Event::Emitter, 2
Text::Levenshtein::Damerau, 2
TimeUnit, 2
Text::Table::Simple, 2
Pod::Perl5, 2
File::Compare, 2
Cro::Uri, 2
007, 2
Cro::HTTP::Middleware, 2
FastCGI::NativeCall, 2
gpgme, 2
OpenSSL::RSATools, 2
DBIx::NamedQueries, 2
DateTime::TimeZone, 2
ogg, 2
DispatchMap, 2
Router::Boost, 2
WebSocket, 2
X11::libxdo, 2
Adventure::Engine, 2
Log::ZMQ, 2
node, 2
Object::Permission, 2
dot, 2
Package::Updates, 2
make, 2
Math::Curves, 2
Type::EnumHOW, 2
Git::Simple, 2
Pakku::RecMan::Client, 2
vorbis, 2
Term::ReadKey, 2
Intl::CLDR::Plurals, 2
TelegramBot, 2
SDL, 2
Debugger::UI::CommandLine, 2
Badger, 2
FileSystem::Capacity, 2
g++, 2
AccountableBagHash, 2
Readline, 2
Text::Diff, 2
GD::Raw, 2
Proc::Q, 2
ASN::Grammar, 2
Object::Delayed, 2
NativeHelpers::CBuffer, 2
Cro::HTTP::Response, 2
Testing, 2
LCS::All, 2
Algorithm::HierarchicalPAM::CustomBuilder, 2
ASN::BER, 2
WebService::FootballData, 2
Crust::Middleware::Session, 2
vorbisenc, 2
Path::Util, 2
Net::HTTP::POST, 2
WriteOnceHash, 2
Getopt::Type, 2
Crypt::AnyPasswordHash, 2
PathTools, 2
PerlStore::FileStore, 2
P6TCI, 2
Tinky, 2
jmp, 2
Algorithm::SetUnion, 2
Terminal::Spinners, 2
Lingua::EN::Stem::Porter, 2
URL, 2
Unix::Groups, 2
AttrX::Lazy, 2
XML::Signature, 2
XML::XPath, 2
RPi::Wiring::Pi, 2
OrderedHash, 2
Algorithm::MinMaxHeap, 2
IO::Path::Dirstack, 2
YAML::Parser::LibYAML, 1
JSON::Path, 1
Auth::SASL, 1
UNIX::Privileges, 1
Pod::From::Cache, 1
EventSource::Server, 1
WebService::HazIP, 1
Grammar::Profiler::Simple, 1
Numeric::Pack, 1
Typesafe::HTML, 1
Fcntl, 1
Pod::To::Pager, 1
Math::Libgsl::MovingWindow, 1
IO::CatHandle::AutoLines, 1
Pod::Utilities, 1
Digest::MurmurHash3, 1
Text::BorderedBlock, 1
BioPerl6, 1
Module::Toolkit, 1
Git::Config, 1
Proc::Async::Timeout, 1
Syndication, 1
Grammar::Debugger, 1
DB::MySQL, 1
CCLog, 1
DB::Model::Easy, 1
Grammar::BNF, 1
File::Zip, 1
Redis::Async, 1
I18n::Simple, 1
SAT, 1
Pod::To::Cached, 1
Native::Compile, 1
WWW::P6lert, 1
Gumbo, 1
XML::Query, 1
